,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
13,XToYHTo6B_MX-1300_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-350,Signal,,,,,,
14,XToYHTo6B_MX-1300_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-400,Signal,,1.023,,lnN,,
15,XToYHTo6B_MX-1300_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-400,Signal,,,,,,
16,XToYHTo6B_MX-1300_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-450,Signal,,1.023,,lnN,,
17,XToYHTo6B_MX-1300_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-450,Signal,,,,,,
18,XToYHTo6B_MX-1300_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-500,Signal,,1.023,,lnN,,
19,XToYHTo6B_MX-1300_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1300_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1300_MY-500,Signal,,,,,,
20,XToYHTo6B_MX-1400_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-250,Signal,,1.023,,lnN,,
21,XToYHTo6B_MX-1400_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-250,Signal,,,,,,
22,XToYHTo6B_MX-1400_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-300,Signal,,1.023,,lnN,,
23,XToYHTo6B_MX-1400_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-300,Signal,,,,,,
24,XToYHTo6B_MX-1400_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-350,Signal,,1.023,,lnN,,
25,XToYHTo6B_MX-1400_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-350,Signal,,,,,,
26,XToYHTo6B_MX-1400_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-400,Signal,,1.023,,lnN,,
27,XToYHTo6B_MX-1400_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-400,Signal,,,,,,
28,XToYHTo6B_MX-1400_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-450,Signal,,1.023,,lnN,,
29,XToYHTo6B_MX-1400_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-450,Signal,,,,,,
30,XToYHTo6B_MX-1400_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-500,Signal,,1.023,,lnN,,
31,XToYHTo6B_MX-1400_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1400_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1400_MY-500,Signal,,,,,,
32,XToYHTo6B_MX-1500_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-250,Signal,,1.023,,lnN,,
33,XToYHTo6B_MX-1500_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-250,Signal,,,,,,
34,XToYHTo6B_MX-1500_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-300,Signal,,1.023,,lnN,,
35,XToYHTo6B_MX-1500_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-300,Signal,,,,,,
36,XToYHTo6B_MX-1500_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-350,Signal,,1.023,,lnN,,
37,XToYHTo6B_MX-1500_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-350,Signal,,,,,,
38,XToYHTo6B_MX-1500_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-400,Signal,,1.023,,lnN,,
39,XToYHTo6B_MX-1500_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-400,Signal,,,,,,
40,XToYHTo6B_MX-1500_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-450,Signal,,1.023,,lnN,,
41,XToYHTo6B_MX-1500_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-450,Signal,,,,,,
42,XToYHTo6B_MX-1500_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-500,Signal,,1.023,,lnN,,
43,XToYHTo6B_MX-1500_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1500_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1500_MY-500,Signal,,,,,,
44,XToYHTo6B_MX-1600_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-250,Signal,,1.023,,lnN,,
45,XToYHTo6B_MX-1600_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-250,Signal,,,,,,
46,XToYHTo6B_MX-1600_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-300,Signal,,1.023,,lnN,,
47,XToYHTo6B_MX-1600_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-300,Signal,,,,,,
48,XToYHTo6B_MX-1600_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-350,Signal,,1.023,,lnN,,
49,XToYHTo6B_MX-1600_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-350,Signal,,,,,,
50,XToYHTo6B_MX-1600_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-400,Signal,,1.023,,lnN,,
51,XToYHTo6B_MX-1600_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-400,Signal,,,,,,
52,XToYHTo6B_MX-1600_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-450,Signal,,1.023,,lnN,,
53,XToYHTo6B_MX-1600_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-450,Signal,,,,,,
54,XToYHTo6B_MX-1600_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-500,Signal,,1.023,,lnN,,
55,XToYHTo6B_MX-1600_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1600_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1600_MY-500,Signal,,,,,,
56,XToYHTo6B_MX-1700_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-250,Signal,,1.023,,lnN,,
57,XToYHTo6B_MX-1700_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-250,Signal,,,,,,
58,XToYHTo6B_MX-1700_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-300,Signal,,1.023,,lnN,,
59,XToYHTo6B_MX-1700_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-300,Signal,,,,,,
60,XToYHTo6B_MX-1700_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-350,Signal,,1.023,,lnN,,
61,XToYHTo6B_MX-1700_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-350,Signal,,,,,,
62,XToYHTo6B_MX-1700_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-400,Signal,,1.023,,lnN,,
63,XToYHTo6B_MX-1700_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-400,Signal,,,,,,
64,XToYHTo6B_MX-1700_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-450,Signal,,1.023,,lnN,,
65,XToYHTo6B_MX-1700_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-450,Signal,,,,,,
66,XToYHTo6B_MX-1700_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-500,Signal,,1.023,,lnN,,
67,XToYHTo6B_MX-1700_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1700_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1700_MY-500,Signal,,,,,,
68,XToYHTo6B_MX-1800_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-250,Signal,,1.023,,lnN,,
69,XToYHTo6B_MX-1800_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-250,Signal,,,,,,
70,XToYHTo6B_MX-1800_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-300,Signal,,1.023,,lnN,,
71,XToYHTo6B_MX-1800_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-300,Signal,,,,,,
72,XToYHTo6B_MX-1800_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-350,Signal,,1.023,,lnN,,
73,XToYHTo6B_MX-1800_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-350,Signal,,,,,,
74,XToYHTo6B_MX-1800_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-400,Signal,,1.023,,lnN,,
75,XToYHTo6B_MX-1800_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-400,Signal,,,,,,
76,XToYHTo6B_MX-1800_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-450,Signal,,1.023,,lnN,,
77,XToYHTo6B_MX-1800_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-450,Signal,,,,,,
78,XToYHTo6B_MX-1800_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-500,Signal,,1.023,,lnN,,
79,XToYHTo6B_MX-1800_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1800_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1800_MY-500,Signal,,,,,,
80,XToYHTo6B_MX-1900_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-250,Signal,,1.023,,lnN,,
81,XToYHTo6B_MX-1900_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-250,Signal,,,,,,
82,XToYHTo6B_MX-1900_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-300,Signal,,1.023,,lnN,,
83,XToYHTo6B_MX-1900_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-300,Signal,,,,,,
84,XToYHTo6B_MX-1900_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-350,Signal,,1.023,,lnN,,
85,XToYHTo6B_MX-1900_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-350,Signal,,,,,,
86,XToYHTo6B_MX-1900_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-400,Signal,,1.023,,lnN,,
87,XToYHTo6B_MX-1900_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-400,Signal,,,,,,
88,XToYHTo6B_MX-1900_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-450,Signal,,1.023,,lnN,,
89,XToYHTo6B_MX-1900_MY-450,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-450,Signal,,,,,,
90,XToYHTo6B_MX-1900_MY-500,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-500,Signal,,1.023,,lnN,,
91,XToYHTo6B_MX-1900_MY-500,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-1900_MY-500_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-1900_MY-500,Signal,,,,,,
92,XToYHTo6B_MX-2000_MY-250,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-250,Signal,,1.023,,lnN,,
93,XToYHTo6B_MX-2000_MY-250,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-250_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-250,Signal,,,,,,
94,XToYHTo6B_MX-2000_MY-300,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-300,Signal,,1.023,,lnN,,
95,XToYHTo6B_MX-2000_MY-300,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-300_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-300,Signal,,,,,,
96,XToYHTo6B_MX-2000_MY-350,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-350,Signal,,1.023,,lnN,,
97,XToYHTo6B_MX-2000_MY-350,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-350_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-350,Signal,,,,,,
98,XToYHTo6B_MX-2000_MY-400,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-400,Signal,,1.023,,lnN,,
99,XToYHTo6B_MX-2000_MY-400,pass,default,1,SIGNAL,1.0,nominal,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-400_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-400,Signal,,,,,,
100,XToYHTo6B_MX-2000_MY-450,pass,default,1,SIGNAL,1.0,lumi,symlink2histograms_Run2/XToYHTo6B_MX-2000_MY-450_Histograms.root,mj_vs_mjj_SR_pass_boosted_nominal,XToYHTo6B_MX-2000_MY-450,Signal,,1.023,,lnN,,
